24/11/2020 20:33:20 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:34:58 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:44:35 Se conecto con ip:127.0.0.1 SE: 77391571
24/11/2020 20:45:31 Se conecto con ip:127.0.0.1 SE: 77391571
9/12/2020 10:42:28 Se conecto con ip:127.0.0.1 SE: 77391571
15/12/2020 09:31:26 Se conecto con ip:127.0.0.1 SE: 77391571
15/12/2020 09:31:28 Transporto a Snow hacia Mapa34 X:37 Y:83
15/12/2020 09:31:28 Transporto a Snow hacia Mapa34 X:40 Y:78
15/12/2020 09:31:28 Transporto a Snow hacia Mapa34 X:39 Y:74
15/12/2020 09:31:29 Transporto a Snow hacia Mapa34 X:36 Y:70
15/12/2020 09:31:29 Transporto a Snow hacia Mapa34 X:31 Y:67
15/12/2020 09:31:29 Transporto a Snow hacia Mapa34 X:28 Y:71
15/12/2020 09:31:30 Transporto a Snow hacia Mapa34 X:31 Y:66
15/12/2020 09:31:30 Transporto a Snow hacia Mapa34 X:34 Y:61
15/12/2020 09:31:31 Transporto a Snow hacia Mapa34 X:33 Y:57
15/12/2020 09:31:32 Transporto a Snow hacia Mapa34 X:32 Y:63
15/12/2020 09:31:33 Transporto a Snow hacia Mapa34 X:31 Y:69
15/12/2020 09:31:34 Transporto a Snow hacia Mapa34 X:36 Y:70
15/12/2020 09:31:35 Transporto a Snow hacia Mapa34 X:39 Y:75
15/12/2020 09:31:35 Transporto a Snow hacia Mapa34 X:40 Y:81
15/12/2020 09:31:35 Transporto a Snow hacia Mapa34 X:38 Y:85
15/12/2020 09:31:36 Transporto a Snow hacia Mapa34 X:33 Y:90
15/12/2020 09:31:36 Transporto a Snow hacia Mapa34 X:32 Y:86
15/12/2020 09:31:37 Transporto a Snow hacia Mapa34 X:34 Y:79
15/12/2020 09:31:37 Transporto a Snow hacia Mapa34 X:36 Y:73
15/12/2020 09:31:37 Transporto a Snow hacia Mapa34 X:36 Y:68
